"file","column_count","row_count","unique_patient_count"
"chemo_lines.csv","5","8","8"
"cohort_details.csv","3","1","-"
"dataset_details.csv","4","1","-"
"diagnosis.csv","10","33770","32"
"encounter.csv","9","5515","32"
"genomic.csv","6","0","0"
"lab_result.csv","10","82056","32"
"medication_drug.csv","13","115734","32"
"medication_ingredient.csv","11","212695","32"
"oncology_treatment.csv","11","8","4"
"patient.csv","11","32","32"
"patient_cohort.csv","4","32","32"
"procedure.csv","8","41736","31"
"standardized_terminology.csv","5","2315206","-"
"tumor.csv","14","5","4"
"tumor_properties.csv","11","0","0"
"vitals_signs.csv","10","146","18"
